release,tag_name,commit_id,date,days_since_last_release
673926,v1.2.3,7e871b0ddd50d39806b983652d19de7e6196b64d,2014-11-03 19:32:15,0
674017,v2.0.0_rc,566cff0ff5174d4ec4ef79631521c5c275e25322,2014-11-03 20:13:34,0
1290243,v1.2.4,8e439999e8ccaf93df7361f6e3c0ec8c7363bdd7,2015-01-19 10:21:09,76
906615,v2.0.0,5620a10628ff49bebf500f720572c3af1abf8870,2015-02-02 06:08:29,13
1291416,v2.0.1,dd7abc2a08f95965e8e126530ce7d4c7d94a8f09,2015-05-05 06:21:33,92
1282267,v2.1.0_alpha,2313424f811c59563090e77966d906dd3eb7f127,2015-05-11 17:12:53,6
1966542,v2.0.2,cfd101ace3d7d8d665e61f94b153b75bc21c8e79,2015-10-14 10:13:46,155
1966532,v2.1.0_beta,587086d34d5c002dd33be2523be9d84018eb759d,2015-10-15 19:36:51,1
1966575,v1.2.5,f4dc4179aa9b0fe9d6085697eefd47402153f1e7,2015-10-15 19:43:19,0
3086002,v2.1.0,83f1abcd850bc349d5ecaf47a1e90b24be08dfea,2016-04-24 16:13:52,191
8398434,v3.0.0,6b1911e4f4cbde2df51e1c7ced10f0f080dc8e84,2017-11-06 17:13:20,561
8720643,v3.0.1,37dfd836cfe7fc0c159ecbfa0b48678a6ee9c6ea,2017-11-30 21:22:39,24
9069909,v3.0.2,a2b0ec84eeb09a69958f438edb4ea8faf869a826,2017-12-31 20:53:49,30
9940704,v3.0.3,a0e402cf4c26e41ce0666ec4cd697aea41f1de0e,2018-03-05 19:03:04,63
11257606,v3.0.4,37d8cc4ff2435ad2eeb6cae44a2d602b9fa5e613,2018-05-31 13:47:25,86
12704503,v3.1.0,73455eeef55ce7ab38cf283c7c0add67f553d86e,2018-09-03 18:30:40,95
13991731,v3.1.1,b7e2cd0eb3afee99601633964bb63f6db3e4cdf9,2018-11-14 12:20:24,71
15202854,v4.0.0,92b1502eecc59cba3975183416acfd6a400f6999,2019-01-27 13:25:35,74
15225267,v3.1.2,b2c2958964d429775e3da335a4f6ca5b4f9e1671,2019-01-29 01:28:40,1
17394475,v4.0.1,a1fa27ef8863d47d9986eea17f59152fda4821c5,2019-05-16 16:25:15,107
17932464,v3.1.3,49e424905b5922b07aa7166ec7a0eeb90adf58a8,2019-05-23 19:04:17,7
22373687,v4.0.2,9111aca176a33e83ab853183230050ee81cda89e,2019-12-19 11:59:29,209
26501787,v3.1.4,e287066f877a758e7501c580495445650ba99dcf,2020-05-13 11:08:56,145
